x,y
14.875088,101.725260
14.875108,101.725164
14.875140,101.725121
14.875173,101.725118
14.875220,101.725148
14.875344,101.725174
14.875518,101.725183
14.875626,101.725175
14.875813,101.725223
14.876082,101.725209
14.876116,101.725222
14.871341,101.724268
14.871444,101.724286
14.871808,101.724281
14.872190,101.724275
14.872617,101.724274
14.873036,101.724273
14.873006,101.723716
14.873003,101.723652
14.873722,101.719483
14.873491,101.720258
14.873298,101.720901
14.872165,101.723180
14.872899,101.723309
14.872964,101.723306
14.873033,101.722776
14.873057,101.722525
14.873110,101.721728
14.873008,101.721683
14.872710,101.721576
14.872300,101.721462
14.872431,101.720712
14.872469,101.720607
14.875650,101.719915
14.875443,101.720996
14.873676,101.720430
14.873991,101.719331
14.875650,101.719915
14.864245,101.704279
14.864307,101.704377
14.864379,101.704426
14.865062,101.704648
14.865678,101.704857
14.866403,101.705103
14.866549,101.705152
14.866965,101.705297
14.867062,101.705348
14.867213,101.705427
14.867695,101.705745
14.868243,101.706107
14.868393,101.706206
14.868721,101.706423
14.868858,101.706513
14.868996,101.706604
14.869466,101.706913
14.869599,101.707001
14.870072,101.707313
14.870206,101.707401
14.870305,101.707459
14.870615,101.707671
14.870690,101.707721
14.870814,101.707802
14.871296,101.708114
14.871427,101.708196
14.871964,101.708563
14.872484,101.708931
14.872642,101.709043
14.872700,101.709084
14.873102,101.709321
14.873383,101.709451
14.874374,101.709878
14.875047,101.710156
14.875581,101.710377
14.877137,101.711033
14.877296,101.711100
14.832905,101.695900
14.826735,101.696181
14.827297,101.694302
14.827255,101.693770
14.826426,101.692302
14.826115,101.691234
14.828225,101.690543
14.826821,101.686369
14.829585,101.686622
14.831143,101.686138
14.832930,101.686940
14.833961,101.686286
14.834877,101.686131
14.835520,101.687102
14.836641,101.686235
14.838754,101.685132
14.840286,101.684994
14.841775,101.685283
14.841925,101.684988
14.842300,101.684649
14.842918,101.684337
14.843463,101.684175
14.845227,101.683541
14.845735,101.682720
14.847446,101.683294
14.847158,101.685235
14.847273,101.685573
14.847621,101.685806
14.847950,101.685933
14.847534,101.687692
14.846559,101.687949
14.845936,101.689666
14.846273,101.690091
14.846775,101.690592
14.848450,101.690769
14.848570,101.692237
14.850340,101.693369
14.851028,101.694375
14.851551,101.697699
14.853110,101.699985
14.848985,101.704679
14.847914,101.704136
14.848021,101.703672
14.844685,101.701835
14.845858,101.700393
14.845697,101.699942
14.845328,101.699280
14.844891,101.698746
14.844434,101.695909
14.842368,101.693975
14.840436,101.693657
14.837549,101.694373
14.835303,101.694460
14.834900,101.694592
14.834065,101.695211
14.832905,101.695900
14.650227,101.204341
14.649937,101.205613
14.649847,101.205930
14.649732,101.206221
14.649610,101.206453
14.649469,101.206672
14.649306,101.206891
14.649119,101.207080
